Symbol,MyID,Name,IsETF
HP,3621,"Helmerich & Payne, Inc.",0
HPE,3622,Hewlett Packard Enterprise Co,0
HPQ,3627,HP Inc,0
HRL,3640,Hormel Foods Corp.,0
HSIC,3655,Henry Schein Inc.,0
HST,3661,Host Hotels & Resorts Inc,0
HSY,3663,Hershey Company,0
HUM,3688,Humana Inc.,0
HUSA,3695,Houston American Energy Corp,0
HWM,14936,Howmet Aerospace Inc,0
HYG,3712,BlackRock Institutional Trust Company N.A. - iShares iBoxx USD High Yield Corporate Bond ETF,0
IAU,3743,BlackRock Institutional Trust Company N.A. - iShares Gold Trust,0
IBB,3745,BlackRock Institutional Trust Company N.A. - iShares Biotechnology ETF,0
IBM,3769,International Business Machines Corp.,0
IBRX,17418,ImmunityBio Inc,0
ICD,3789,Independence Contract Drilling Inc,0
ICE,3790,Intercontinental Exchange Inc,0
ICPT,3800,Intercept Pharmaceuticals Inc,0
IDXX,3824,"Idexx Laboratories, Inc.",0
IEF,3826,BlackRock Institutional Trust Company N.A. - iShares 7-10 Year Treasury Bond ETF,0
IEFA,3827,BlackRock Institutional Trust Company N.A. - iShares Core MSCI EAFE ETF,0
IEMG,3829,BlackRock Institutional Trust Company N.A. - iShares Core MSCI Emerging Markets ETF,0
IEX,3836,Idex Corporation,0
IFF,3840,International Flavors & Fragrances Inc.,0
IGSB,10637,BlackRock Institutional Trust Company N.A. - iShares Trust iShares 1-5 Year Investment Grade Corporate Bond ETF,0
IJH,3886,BlackRock Institutional Trust Company N.A. - iShares Core S&P Mid-Cap ETF,0
IJR,3889,BlackRock Institutional Trust Company N.A. - iShares Core S&P Small-Cap ETF,0
ILMN,3896,Illumina Inc,0
IMGN,3901,"Immunogen, Inc.",0
IMUX,11427,Immunic Inc,0
INCY,3924,Incyte Corp.,0
INO,3946,Inovio Pharmaceuticals Inc,0
INSM,3957,Insmed Inc,0
INTC,3962,Intel Corp.,0
INTU,3967,Intuit Inc,0
INVH,3972,Invitation Homes Inc,0
IONS,3980,Ionis Pharmaceuticals Inc,0
IOVA,8566,Iovance Biotherapeutics Inc,0
IP,3985,International Paper Co.,0
IPG,3998,"Interpublic Group Of Cos., Inc.",0
IQV,9652,IQVIA Holdings Inc,0
IR,4020,Ingersoll-Rand Inc,0
IRDM,4023,Iridium Communications Inc,0
IRM,4029,Iron Mountain Inc.,0
IRWD,4037,Ironwood Pharmaceuticals Inc - Class A,0
ISEE,11439,IVERIC bio Inc,0
ISRG,4056,Intuitive Surgical Inc,0
IT,4063,"Gartner, Inc.",0
ITCI,4067,Intra-Cellular Therapies Inc,0
ITOT,4078,BlackRock Institutional Trust Company N.A. - iShares Core S&P Total U.S. Stock Market ETF,0
ITW,4085,"Illinois Tool Works, Inc.",0
IUSB,4086,BlackRock Institutional Trust Company N.A. - iShares Core Total USD Bond Market ETF,0
IVE,4092,BlackRock Institutional Trust Company N.A. - iShares S&P 500 Value ETF,0
IVV,4106,BlackRock Institutional Trust Company N.A. - iShares Core S&P 500 ETF,0
IVW,4107,BlackRock Institutional Trust Company N.A. - iShares S&P 500 Growth ETF,0
IVZ,4108,Invesco Ltd,0
IWB,4109,BlackRock Institutional Trust Company N.A. - iShares Russell 1000 ETF,0
IWD,4111,BlackRock Institutional Trust Company N.A. - iShares Russell 1000 Value ETF,0
IWF,4112,BlackRock Institutional Trust Company N.A. - iShares Russell 1000 Growth ETF,0
IWM,4114,BlackRock Institutional Trust Company N.A. - iShares Russell 2000 ETF,0
IWN,4115,BlackRock Institutional Trust Company N.A. - iShares Russell 2000 Value ETF,0
IWP,4117,BlackRock Institutional Trust Company N.A. - iShares Russell Mid-Cap Growth ETF,0
IWR,4118,BlackRock Institutional Trust Company N.A. - iShares Russell Mid-Cap ETF,0
IWS,4119,BlackRock Institutional Trust Company N.A. - iShares Russell Mid-Cap Value ETF,0
IXUS,4129,BlackRock Institutional Trust Company N.A. - iShares Core MSCI Total International Stock ETF,0
J,14628,Jacobs Solutions Inc,0
JBHT,4155,"J.B. Hunt Transport Services, Inc.",0
JBLU,4158,Jetblue Airways Corp,0
JCI,4165,Johnson Controls International plc - Registered Shares,0
JD,4171,JD.com Inc - ADR,0
JKHY,4222,"Jack Henry & Associates, Inc.",0
JNCE,4240,Jounce Therapeutics Inc,0
JNJ,4241,Johnson & Johnson,0
JNPR,4244,Juniper Networks Inc,0
JPM,4266,JPMorgan Chase & Co.,0
JPST,8459,J.P.Morgan Investment Management Inc. - JPMorgan Ultra-Short Income ETF,0
K,4314,Kellogg Co,0
KALA,8638,Kala Pharmaceuticals Inc,0
KALV,4320,KalVista Pharmaceuticals Inc,0
KDNY,15741,Chinook Therapeutics Inc,0
KDP,10546,Keurig Dr Pepper Inc,0
KEX,4355,Kirby Corp.,0
KEY,4356,Keycorp,0
KEYS,4358,Keysight Technologies Inc,0
KHC,4369,Kraft Heinz Co,0
KIM,4371,Kimco Realty Corporation,0
KLAC,4384,KLA Corp.,0
KMB,4393,Kimberly-Clark Corp.,0
KMI,4397,Kinder Morgan Inc - Class P,0
KMX,4405,Carmax Inc,0
KNSA,10374,Kiniksa Pharmaceuticals Ltd - Class A,0
KO,4414,Coca-Cola Co,0
KOD,10877,Kodiak Sciences Inc,0
KPTI,4431,Karyopharm Therapeutics Inc,0
KR,4432,Kroger Co.,0
KRP,4443,Kimbell Royalty Partners LP - Units,0
KRYS,9368,Krystal Biotech Inc,0
KTOS,4459,Kratos Defense & Security Solutions Inc,0
KURA,4464,Kura Oncology Inc,0
